Date Local,Arithmetic Mean
1/1/2019,49.7125
1/2/2019,49.454167
1/3/2019,52.8375
1/4/2019,52.329167
1/5/2019,52.245455
1/7/2019,55.1625
1/8/2019,58.979167
1/9/2019,55.741667
1/10/2019,54.7375
1/11/2019,55.529167
1/12/2019,54.354167
1/13/2019,53.1
1/14/2019,53.25
1/15/2019,53.483333
1/16/2019,57.475
1/17/2019,60.125
1/18/2019,58.466667
1/19/2019,62.516667
1/20/2019,61.108333
1/21/2019,57.745833
1/22/2019,55.9
1/23/2019,54.641667
1/24/2019,60.325
1/25/2019,60.341667
1/26/2019,62.304167
1/27/2019,61.708333
1/28/2019,59.6375
1/29/2019,60.379167
1/30/2019,58.958333
1/31/2019,56.216667
2/1/2019,55.545833
2/2/2019,55.083333
2/3/2019,53.845833
2/4/2019,55.204167
2/5/2019,50.845833
2/6/2019,49.908333
2/7/2019,50.795833
2/8/2019,51.066667
2/9/2019,52.033333
2/10/2019,51.170833
2/11/2019,50.054167
2/12/2019,54.608333
2/13/2019,54.095833
2/14/2019,57.8125
2/15/2019,53.759091
2/16/2019,53.445833
2/17/2019,51.2125
2/18/2019,50.020833
2/19/2019,49.729167
2/20/2019,48.386364
2/21/2019,47.595833
2/22/2019,49.054167
2/23/2019,51.429167
2/24/2019,54.083333
2/25/2019,55.791667
2/26/2019,55.308333
2/27/2019,57.85
2/28/2019,59.308333
3/1/2019,59.6375
3/2/2019,58.266667
3/3/2019,57.4
3/4/2019,56.545833
3/5/2019,56.554167
3/6/2019,57.695833
3/7/2019,56.304167
3/8/2019,53.616667
3/9/2019,50.261538
3/10/2019,53.133333
3/11/2019,56.904167
3/12/2019,58.733333
3/13/2019,56.791667
3/14/2019,59.229167
3/15/2019,62.458333
3/16/2019,64.966667
3/17/2019,67.095833
3/18/2019,63.425
3/19/2019,57.725
3/20/2019,57.629167
3/21/2019,55.3375
3/22/2019,56.041667
3/23/2019,58.895833
3/24/2019,59.670833
3/25/2019,60.083333
3/26/2019,59.591667
3/27/2019,61.133333
3/28/2019,60.408333
3/29/2019,59.804167
3/30/2019,64.166667
3/31/2019,67.8125
4/1/2019,68.925
4/2/2019,61.633333
4/3/2019,60.433333
4/4/2019,59.891667
4/5/2019,60.2
4/6/2019,62.0875
4/7/2019,65.175
4/8/2019,69.5375
4/9/2019,66.8375
4/10/2019,66.4375
4/11/2019,61.741667
