State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/22/2019,Percent relative humidity,None,24,100,38.708333,69,5,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/23/2019,Percent relative humidity,None,24,100,48.041667,86,23,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/24/2019,Percent relative humidity,None,24,100,48.291667,88,0,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/25/2019,Percent relative humidity,None,24,100,41.25,67,22,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/26/2019,Percent relative humidity,None,24,100,34.958333,61,0,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/27/2019,Percent relative humidity,None,24,100,43.208333,79,23,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/28/2019,Percent relative humidity,None,24,100,59.208333,82,0,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/29/2019,Percent relative humidity,None,24,100,81.041667,100,23,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/30/2019,Percent relative humidity,None,24,100,87.375,100,0,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,1/31/2019,Percent relative humidity,None,24,100,93.083333,100,0,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,2/1/2019,Percent relative humidity,None,24,100,83.75,100,1,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,2/2/2019,Percent relative humidity,None,18,75,96.388889,100,2,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,2/15/2019,Percent relative humidity,None,9,38,80.222222,94,18,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,2/16/2019,Percent relative humidity,None,24,100,61.041667,89,0,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,2/17/2019,Percent relative humidity,None,24,100,61.708333,75,1,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,2/18/2019,Percent relative humidity,None,24,100,43.666667,60,6,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
