Date,Daily Max 8-hour Ozone Concentration
10/27/2019,0.04
10/28/2019,0.05
10/29/2019,0.04
10/30/2019,0.04
10/31/2019,0.04
11/1/2019,0.03
11/2/2019,0.04
11/3/2019,0.06
11/4/2019,0.05
11/5/2019,0.05
11/6/2019,0.04
11/7/2019,0.05
11/8/2019,0.04
11/9/2019,0.04
11/10/2019,0.05
11/11/2019,0.05
11/12/2019,0.05
11/13/2019,0.04
11/14/2019,0.04
11/15/2019,0.03
11/16/2019,0.04
11/17/2019,0.04
11/18/2019,0.04
11/19/2019,0.04
11/20/2019,0.04
11/21/2019,0.03
11/22/2019,0.03
11/23/2019,0.04
11/24/2019,0.04
11/25/2019,0.04
11/26/2019,0.03
11/27/2019,0.04
11/28/2019,0.03
11/29/2019,0.04
11/30/2019,0.03
12/1/2019,0.02
12/2/2019,0.01
12/3/2019,0.00
12/5/2019,0.03
12/7/2019,0.02
12/8/2019,0.03
12/9/2019,0.03
12/11/2019,0.02
12/14/2019,0.03
12/15/2019,0.04
12/16/2019,0.03
12/18/2019,0.02
12/19/2019,0.02
12/23/2019,0.02
12/24/2019,0.03
12/25/2019,0.04
12/26/2019,0.03
12/27/2019,0.02
12/28/2019,0.03
12/29/2019,0.03
12/30/2019,0.02
